openrouter_model_id,openrouter_model_name,proposed_lmsys_model_name,proposed_lmsys_elo_score,match_confidence_score,notes_or_reasoning,id_similarity,name_similarity
ai21/jamba-1.6-large,AI21: Jamba 1.6 Large,Jamba-1.5-Large,1218,78.57,Moderate similarity match,78.57,78.57
ai21/jamba-1.6-mini,AI21: Jamba Mini 1.6,Jamba-1.5-Mini,1173,76.92,Moderate similarity match,76.92,69.23
allenai/olmo-7b-instruct,OLMo 7B Instruct,OLMo-7B-instruct,1012,100.0,High name similarity,80.0,100.0
allenai/olmo-7b-instruct,OLMo 7B Instruct,SmolLM2-1.7B-Instruct,1043,81.25,Moderate similarity match,66.67,81.25
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,Amazon Nova Lite 1.0,1213,100.0,High ID similarity; High name similarity,93.75,100.0
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,Amazon Nova Micro 1.0,1194,100.0,High ID similarity; High name similarity,94.12,100.0
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,Amazon Nova Pro 1.0,1241,87.5,High name similarity,81.25,87.5
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,Amazon Nova Pro 1.0,1241,100.0,High ID similarity; High name similarity,93.33,100.0
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,Amazon Nova Micro 1.0,1194,87.5,High name similarity,81.25,87.5
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,Claude 3 Haiku,1176,72.73,Moderate similarity match,72.73,72.73
anthropic/claude-3-opus,Anthropic: Claude 3 Opus,Claude 3 Opus,1244,70.97,Moderate similarity match,70.97,70.97
anthropic/claude-3-sonnet,Anthropic: Claude 3 Sonnet,Claude 3 Sonnet,1198,74.29,Moderate similarity match,74.29,74.29
anthropic/claude-3-sonnet,Anthropic: Claude 3 Sonnet,Claude 3.7 Sonnet,1287,72.22,Moderate similarity match,72.22,72.22
anthropic/claude-3.5-haiku,Anthropic: Claude 3.5 Haiku,Claude 3 Haiku,1176,70.59,Moderate similarity match,70.59,70.59
anthropic/claude-3.5-haiku-20241022,Anthropic: Claude 3.5 Haiku (2024-10-22),Claude 3.5 Haiku (20241022),1234,82.35,Moderate similarity match,82.35,82.35
anthropic/claude-3.5-haiku-20241022:beta,Anthropic: Claude 3.5 Haiku (2024-10-22) (self-moderated),Claude 3.5 Haiku (20241022),1234,76.36,Moderate similarity match,76.36,65.62
anthropic/claude-3.5-sonnet,Anthropic: Claude 3.5 Sonnet,Claude 3 Sonnet,1198,72.22,Moderate similarity match,72.22,72.22
anthropic/claude-3.5-sonnet,Anthropic: Claude 3.5 Sonnet,Claude 3.7 Sonnet,1287,70.27,Moderate similarity match,70.27,70.27
anthropic/claude-3.5-sonnet-20240620,Anthropic: Claude 3.5 Sonnet (2024-06-20),Claude 3.5 Sonnet (20240620),1265,83.02,Moderate similarity match,83.02,83.02
anthropic/claude-3.5-sonnet-20240620:beta,Anthropic: Claude 3.5 Sonnet (2024-06-20) (self-moderated),Claude 3.5 Sonnet (20240620),1265,77.19,Moderate similarity match,77.19,66.67
anthropic/claude-3.5-sonnet-20240620:beta,Anthropic: Claude 3.5 Sonnet (2024-06-20) (self-moderated),Claude 3.5 Sonnet (20241022),1280,70.18,Moderate similarity match,70.18,60.61
anthropic/claude-3.7-sonnet,Anthropic: Claude 3.7 Sonnet,Claude 3.7 Sonnet,1287,75.68,Moderate similarity match,75.68,75.68
anthropic/claude-3.7-sonnet,Anthropic: Claude 3.7 Sonnet,Claude 3 Sonnet,1198,72.22,Moderate similarity match,72.22,72.22
anthropic/claude-3.7-sonnet:thinking,Anthropic: Claude 3.7 Sonnet (thinking),Claude 3.7 Sonnet (thinking-32k),1296,78.57,Moderate similarity match,78.57,78.57
cognitivecomputations/dolphin-mixtral-8x22b,Dolphin 2.9.2 Mixtral 8x22B 🐬,Dolphin-2.2.1-Mistral-7B,1059,76.19,Moderate similarity match,47.46,76.19
cognitivecomputations/dolphin3.0-mistral-24b:free,Dolphin3.0 Mistral 24B (free),Dolphin-2.2.1-Mistral-7B,1059,71.43,Moderate similarity match,47.62,71.43
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,Dolphin3.0 R1 Mistral 24B (free),Dolphin-2.2.1-Mistral-7B,1059,72.73,Moderate similarity match,49.23,72.73
cohere/command-r-03-2024,Cohere: Command R (03-2024),Command R (08-2024),1176,76.47,Moderate similarity match,76.47,76.47
cohere/command-r-03-2024,Cohere: Command R (03-2024),Command R (04-2024),1145,76.47,Moderate similarity match,76.47,76.47
cohere/command-r-03-2024,Cohere: Command R (03-2024),Command R+ (08-2024),1212,74.29,Moderate similarity match,74.29,74.29
cohere/command-r-08-2024,Cohere: Command R (08-2024),Command R (08-2024),1176,82.35,Moderate similarity match,82.35,82.35
cohere/command-r-08-2024,Cohere: Command R (08-2024),Command R+ (08-2024),1212,80.0,Moderate similarity match,80.0,80.0
cohere/command-r-plus-04-2024,Cohere: Command R+ (04-2024),Command R+ (04-2024),1186,83.33,Moderate similarity match,71.79,83.33
cohere/command-r-plus-04-2024,Cohere: Command R+ (04-2024),Command R (04-2024),1145,80.0,Moderate similarity match,73.68,80.0
cohere/command-r-plus-08-2024,Cohere: Command R+ (08-2024),Command R+ (08-2024),1212,83.33,Moderate similarity match,71.79,83.33
cohere/command-r-plus-08-2024,Cohere: Command R+ (08-2024),Command R (08-2024),1176,80.0,Moderate similarity match,73.68,80.0
deepseek/deepseek-chat,DeepSeek: DeepSeek V3,DeepSeek-V3,1315,71.43,Moderate similarity match,53.33,71.43
deepseek/deepseek-chat-v3-0324,DeepSeek: DeepSeek V3 0324,DeepSeek-V3-0324,1368,77.78,Moderate similarity match,70.0,77.78
deepseek/deepseek-chat-v3-0324:free,DeepSeek: DeepSeek V3 0324 (free),DeepSeek-V3-0324,1368,70.0,Moderate similarity match,63.64,70.0
deepseek/deepseek-coder,DeepSeek-Coder-V2,DeepSeek-Coder-V2-Instruct,1175,78.95,Moderate similarity match,59.09,78.95
deepseek/deepseek-coder,DeepSeek-Coder-V2,Deepseek-v2.5,1255,76.92,Moderate similarity match,50.0,76.92
deepseek/deepseek-coder,DeepSeek-Coder-V2,DeepSeek-R1,1354,72.0,Moderate similarity match,58.06,72.0
deepseek/deepseek-r1,DeepSeek: R1,DeepSeek-R1,1354,100.0,High name similarity,71.43,100.0
deepseek/deepseek-r1,DeepSeek: R1,DeepSeek-V3,1315,80.0,Moderate similarity match,57.14,80.0
deepseek/deepseek-r1:free,DeepSeek: R1 (free),DeepSeek-R1,1354,83.33,Moderate similarity match,62.5,83.33
eva-unit-01/eva-qwen-2.5-32b,EVA Qwen2.5 32B,Qwen3-32B,1324,70.0,Moderate similarity match,48.28,70.0
google/gemini-2.0-flash-001,Google: Gemini 2.0 Flash,Gemini-2.0-Flash-001,1351,84.21,Moderate similarity match,84.21,74.29
google/gemini-2.0-flash-lite-001,Google: Gemini 2.0 Flash Lite,Gemini-2.0-Flash-Lite,1309,85.0,High name similarity,79.07,85.0
google/gemini-2.5-flash-preview,Google: Gemini 2.5 Flash Preview 04-17,Gemini-2.5-Flash-Preview-04-17,1387,88.89,High name similarity,80.0,88.89
google/gemini-2.5-flash-preview,Google: Gemini 2.5 Flash Preview 04-17,Gemini-2.5-Flash-Preview-05-20,1418,80.0,Moderate similarity match,80.0,77.78
google/gemini-2.5-flash-preview-05-20,Google: Gemini 2.5 Flash Preview 05-20,Gemini-2.5-Flash-Preview-05-20,1418,88.89,High ID similarity; High name similarity,88.89,88.89
google/gemini-2.5-flash-preview-05-20:thinking,Google: Gemini 2.5 Flash Preview 05-20 (thinking),Gemini-2.5-Flash-Preview-05-20,1418,77.42,Moderate similarity match,77.42,77.42
google/gemini-2.5-flash-preview:thinking,Google: Gemini 2.5 Flash Preview 04-17 (thinking),Gemini-2.5-Flash-Preview-04-17,1387,77.42,Moderate similarity match,68.97,77.42
google/gemini-2.5-pro-preview,Google: Gemini 2.5 Pro Preview,Gemini-2.5-Pro-Preview-05-06,1446,78.26,Moderate similarity match,78.26,78.26
google/gemini-flash-1.5,Google: Gemini 1.5 Flash ,Gemini-1.5-Flash-002,1268,74.29,Moderate similarity match,62.86,74.29
google/gemini-flash-1.5,Google: Gemini 1.5 Flash ,Gemini-1.5-Flash-001,1223,74.29,Moderate similarity match,68.57,74.29
google/gemini-flash-1.5,Google: Gemini 1.5 Flash ,Gemini-1.5-Flash-8B-001,1209,70.27,Moderate similarity match,64.86,70.27
google/gemini-flash-1.5-8b,Google: Gemini 1.5 Flash 8B,Gemini-1.5-Flash-8B-001,1209,76.92,Moderate similarity match,66.67,76.92
google/gemini-flash-1.5-8b,Google: Gemini 1.5 Flash 8B,Gemini-1.5-Flash-002,1268,70.27,Moderate similarity match,59.46,70.27
google/gemini-flash-1.5-8b,Google: Gemini 1.5 Flash 8B,Gemini-1.5-Flash-001,1223,70.27,Moderate similarity match,64.86,70.27
google/gemini-pro-1.5,Google: Gemini 1.5 Pro,Gemini-1.5-Pro-002,1299,70.97,Moderate similarity match,58.06,70.97
google/gemini-pro-1.5,Google: Gemini 1.5 Pro,Gemini-1.5-Pro-001,1256,70.97,Moderate similarity match,64.52,70.97
google/gemma-2-27b-it,Google: Gemma 2 27B,Gemma-2-27B-it,1216,78.57,Moderate similarity match,78.57,69.23
google/gemma-2-27b-it,Google: Gemma 2 27B,Gemma-2-2b-it,1140,74.07,Moderate similarity match,74.07,64.0
google/gemma-2-27b-it,Google: Gemma 2 27B,Gemma-3-27B-it,1339,71.43,Moderate similarity match,71.43,61.54
google/gemma-2-9b-it,Google: Gemma 2 9B,Gemma-2-9B-it,1189,76.92,Moderate similarity match,76.92,66.67
google/gemma-2-9b-it,Google: Gemma 2 9B,Gemma-2B-it,986,72.0,Moderate similarity match,72.0,60.87
google/gemma-3-12b-it,Google: Gemma 3 12B,Gemma-3-12B-it,1317,78.57,Moderate similarity match,78.57,69.23
google/gemma-3-12b-it,Google: Gemma 3 12B,Gemma-3-27B-it,1339,71.43,Moderate similarity match,71.43,61.54
google/gemma-3-12b-it,Google: Gemma 3 12B,Gemma-1.1-2b-it,1017,71.43,Moderate similarity match,71.43,61.54
google/gemma-3-27b-it,Google: Gemma 3 27B,Gemma-3-27B-it,1339,78.57,Moderate similarity match,78.57,69.23
google/gemma-3-27b-it,Google: Gemma 3 27B,Gemma-3-12B-it,1317,71.43,Moderate similarity match,71.43,61.54
google/gemma-3-27b-it,Google: Gemma 3 27B,Gemma-2-27B-it,1216,71.43,Moderate similarity match,71.43,61.54
google/gemma-3-4b-it,Google: Gemma 3 4B,Gemma-3-4B-it,1272,76.92,Moderate similarity match,76.92,66.67
google/gemma-3-4b-it,Google: Gemma 3 4B,Gemma-3n-e4b-it,1286,71.43,Moderate similarity match,71.43,61.54
google/gemma-3n-e4b-it:free,Google: Gemma 3n 4B (free),Gemma-3n-e4b-it,1286,70.59,Moderate similarity match,70.59,58.06
meta-llama/llama-2-70b-chat,Meta: Llama 2 70B Chat,Llama-2-70B-chat,1089,86.67,High name similarity,74.29,86.67
meta-llama/llama-2-70b-chat,Meta: Llama 2 70B Chat,Llama-2-7B-chat,1033,82.76,Moderate similarity match,70.59,82.76
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct,Meta-Llama-3.1-70B-Instruct,1244,97.67,High ID similarity; High name similarity,87.5,97.67
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct,Meta-Llama-3.1-8B-Instruct,1172,90.48,High name similarity,80.85,90.48
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct,Meta-Llama-3.2-3B-Instruct,1099,90.48,High name similarity,80.85,90.48
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct,Meta-Llama-3.2-1B-Instruct,1050,90.48,High name similarity,80.85,90.48
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct,Llama-3-70B-Instruct,1203,89.47,High name similarity,79.07,89.47
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct,Llama-3.3-70B-Instruct,1253,87.18,High name similarity,77.27,87.18
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct,Meta-Llama-3.1-405B-Instruct-fp8,1264,85.11,High name similarity,76.92,85.11
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct,Meta-Llama-3.1-405B-Instruct-bf16,1265,83.33,Moderate similarity match,75.47,83.33
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct,CodeLlama-70B-instruct,1038,82.93,Moderate similarity match,73.91,82.93
meta-llama/llama-3-70b-instruct,Meta: Llama 3 70B Instruct,Llama-3-8B-Instruct,1148,81.08,Moderate similarity match,71.43,81.08
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct,Meta-Llama-3.1-8B-Instruct,1172,97.56,High ID similarity; High name similarity,86.96,97.56
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct,Meta-Llama-3.2-3B-Instruct,1099,92.68,High name similarity,82.61,92.68
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct,Meta-Llama-3.2-1B-Instruct,1050,92.68,High name similarity,82.61,92.68
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct,Meta-Llama-3.1-70B-Instruct,1244,90.48,High name similarity,80.85,90.48
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct,Llama-3-8B-Instruct,1148,88.89,High name similarity,78.05,88.89
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct,Meta-Llama-3.1-405B-Instruct-fp8,1264,82.61,Moderate similarity match,74.51,82.61
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct,Llama-3-70B-Instruct,1203,81.08,Moderate similarity match,71.43,81.08
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct,Meta-Llama-3.1-405B-Instruct-bf16,1265,80.85,Moderate similarity match,73.08,80.85
meta-llama/llama-3-8b-instruct,Meta: Llama 3 8B Instruct,CodeLlama-34B-instruct,1039,80.0,Moderate similarity match,71.11,80.0
meta-llama/llama-3.1-405b,Meta: Llama 3.1 405B (base),Meta-Llama-3.1-405B-Instruct-fp8,1264,71.11,Moderate similarity match,65.22,71.11
meta-llama/llama-3.1-405b-instruct,Meta: Llama 3.1 405B Instruct,Meta-Llama-3.1-405B-Instruct-fp8,1264,93.88,High ID similarity; High name similarity,85.19,93.88
meta-llama/llama-3.1-405b-instruct,Meta: Llama 3.1 405B Instruct,Meta-Llama-3.1-70B-Instruct,1244,93.33,High name similarity,84.0,93.33
meta-llama/llama-3.1-405b-instruct,Meta: Llama 3.1 405B Instruct,Meta-Llama-3.1-405B-Instruct-bf16,1265,92.0,High name similarity,83.64,92.0
meta-llama/llama-3.1-405b-instruct,Meta: Llama 3.1 405B Instruct,Meta-Llama-3.1-8B-Instruct,1172,90.91,High name similarity,81.63,90.91
meta-llama/llama-3.1-405b-instruct,Meta: Llama 3.1 405B Instruct,Meta-Llama-3.2-1B-Instruct,1050,90.91,High name similarity,81.63,90.91
meta-llama/llama-3.1-405b-instruct,Meta: Llama 3.1 405B Instruct,Meta-Llama-3.2-3B-Instruct,1099,86.36,High name similarity,77.55,86.36
meta-llama/llama-3.1-405b-instruct,Meta: Llama 3.1 405B Instruct,Llama-3-70B-Instruct,1203,80.0,Moderate similarity match,71.11,80.0
meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct,Meta-Llama-3.1-70B-Instruct,1244,100.0,High ID similarity; High name similarity,89.8,100.0
meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct,Meta-Llama-3.1-8B-Instruct,1172,93.02,High name similarity,83.33,93.02
meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct,Meta-Llama-3.2-1B-Instruct,1050,93.02,High name similarity,83.33,93.02
meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct,Meta-Llama-3.2-3B-Instruct,1099,88.37,High name similarity,79.17,88.37
meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct,Meta-Llama-3.1-405B-Instruct-fp8,1264,87.5,High name similarity,79.25,87.5
meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct,Llama-3-70B-Instruct,1203,87.18,High name similarity,77.27,87.18
meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct,Meta-Llama-3.1-405B-Instruct-bf16,1265,85.71,High name similarity,77.78,85.71
meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct,Llama-3.3-70B-Instruct,1253,85.0,High name similarity,75.56,85.0
meta-llama/llama-3.1-70b-instruct,Meta: Llama 3.1 70B Instruct,CodeLlama-70B-instruct,1038,80.95,Moderate similarity match,72.34,80.95
meta-llama/llama-3.1-8b-instruct,Meta: Llama 3.1 8B Instruct,Meta-Llama-3.1-8B-Instruct,1172,100.0,High ID similarity; High name similarity,89.36,100.0
meta-llama/llama-3.1-8b-instruct,Meta: Llama 3.1 8B Instruct,Meta-Llama-3.2-1B-Instruct,1050,95.24,High ID similarity; High name similarity,85.11,95.24
meta-llama/llama-3.1-8b-instruct,Meta: Llama 3.1 8B Instruct,Meta-Llama-3.1-70B-Instruct,1244,93.02,High name similarity,83.33,93.02
meta-llama/llama-3.1-8b-instruct,Meta: Llama 3.1 8B Instruct,Meta-Llama-3.2-3B-Instruct,1099,90.48,High name similarity,80.85,90.48
meta-llama/llama-3.1-8b-instruct,Meta: Llama 3.1 8B Instruct,Llama-3-8B-Instruct,1148,86.49,High name similarity,76.19,86.49
meta-llama/llama-3.1-8b-instruct,Meta: Llama 3.1 8B Instruct,Meta-Llama-3.1-405B-Instruct-fp8,1264,85.11,High name similarity,76.92,85.11
meta-llama/llama-3.1-8b-instruct,Meta: Llama 3.1 8B Instruct,Meta-Llama-3.1-405B-Instruct-bf16,1265,83.33,Moderate similarity match,75.47,83.33
meta-llama/llama-3.1-8b-instruct:free,Meta: Llama 3.1 8B Instruct (free),Meta-Llama-3.1-8B-Instruct,1172,91.3,High name similarity,82.35,91.3
meta-llama/llama-3.1-8b-instruct:free,Meta: Llama 3.1 8B Instruct (free),Meta-Llama-3.2-1B-Instruct,1050,86.96,High name similarity,78.43,86.96
meta-llama/llama-3.1-8b-instruct:free,Meta: Llama 3.1 8B Instruct (free),Meta-Llama-3.1-70B-Instruct,1244,85.11,High name similarity,76.92,85.11
meta-llama/llama-3.1-8b-instruct:free,Meta: Llama 3.1 8B Instruct (free),Meta-Llama-3.2-3B-Instruct,1099,82.61,Moderate similarity match,74.51,82.61
meta-llama/llama-3.1-8b-instruct:free,Meta: Llama 3.1 8B Instruct (free),Meta-Llama-3.1-405B-Instruct-fp8,1264,82.35,Moderate similarity match,75.0,82.35
meta-llama/llama-3.1-8b-instruct:free,Meta: Llama 3.1 8B Instruct (free),Meta-Llama-3.1-405B-Instruct-bf16,1265,80.77,Moderate similarity match,73.68,80.77
meta-llama/llama-3.2-11b-vision-instruct,Meta: Llama 3.2 11B Vision Instruct,Meta-Llama-3.2-1B-Instruct,1050,85.71,High name similarity,77.78,85.71
meta-llama/llama-3.2-11b-vision-instruct,Meta: Llama 3.2 11B Vision Instruct,Meta-Llama-3.1-8B-Instruct,1172,81.63,Moderate similarity match,74.07,81.63
meta-llama/llama-3.2-11b-vision-instruct,Meta: Llama 3.2 11B Vision Instruct,Meta-Llama-3.2-3B-Instruct,1099,81.63,Moderate similarity match,74.07,81.63
meta-llama/llama-3.2-11b-vision-instruct,Meta: Llama 3.2 11B Vision Instruct,Meta-Llama-3.1-70B-Instruct,1244,80.0,Moderate similarity match,72.73,80.0
meta-llama/llama-3.2-11b-vision-instruct:free,Meta: Llama 3.2 11B Vision Instruct (free),Meta-Llama-3.2-1B-Instruct,1050,79.25,Moderate similarity match,72.41,79.25
meta-llama/llama-3.2-11b-vision-instruct:free,Meta: Llama 3.2 11B Vision Instruct (free),Meta-Llama-3.1-8B-Instruct,1172,75.47,Moderate similarity match,68.97,75.47
meta-llama/llama-3.2-11b-vision-instruct:free,Meta: Llama 3.2 11B Vision Instruct (free),Meta-Llama-3.2-3B-Instruct,1099,75.47,Moderate similarity match,68.97,75.47
meta-llama/llama-3.2-1b-instruct,Meta: Llama 3.2 1B Instruct,Meta-Llama-3.2-1B-Instruct,1050,100.0,High ID similarity; High name similarity,89.36,100.0
meta-llama/llama-3.2-1b-instruct,Meta: Llama 3.2 1B Instruct,Meta-Llama-3.1-8B-Instruct,1172,95.24,High ID similarity; High name similarity,85.11,95.24
meta-llama/llama-3.2-1b-instruct,Meta: Llama 3.2 1B Instruct,Meta-Llama-3.2-3B-Instruct,1099,95.24,High ID similarity; High name similarity,85.11,95.24
meta-llama/llama-3.2-1b-instruct,Meta: Llama 3.2 1B Instruct,Meta-Llama-3.1-70B-Instruct,1244,93.02,High name similarity,83.33,93.02
meta-llama/llama-3.2-1b-instruct,Meta: Llama 3.2 1B Instruct,Meta-Llama-3.1-405B-Instruct-fp8,1264,85.11,High name similarity,76.92,85.11
meta-llama/llama-3.2-1b-instruct,Meta: Llama 3.2 1B Instruct,Meta-Llama-3.1-405B-Instruct-bf16,1265,83.33,Moderate similarity match,75.47,83.33
meta-llama/llama-3.2-1b-instruct,Meta: Llama 3.2 1B Instruct,Llama-3-8B-Instruct,1148,81.08,Moderate similarity match,71.43,81.08
meta-llama/llama-3.2-1b-instruct:free,Meta: Llama 3.2 1B Instruct (free),Meta-Llama-3.2-1B-Instruct,1050,91.3,High name similarity,82.35,91.3
meta-llama/llama-3.2-1b-instruct:free,Meta: Llama 3.2 1B Instruct (free),Meta-Llama-3.1-8B-Instruct,1172,86.96,High name similarity,78.43,86.96
meta-llama/llama-3.2-1b-instruct:free,Meta: Llama 3.2 1B Instruct (free),Meta-Llama-3.2-3B-Instruct,1099,86.96,High name similarity,78.43,86.96
meta-llama/llama-3.2-1b-instruct:free,Meta: Llama 3.2 1B Instruct (free),Meta-Llama-3.1-70B-Instruct,1244,85.11,High name similarity,76.92,85.11
meta-llama/llama-3.2-1b-instruct:free,Meta: Llama 3.2 1B Instruct (free),Meta-Llama-3.1-405B-Instruct-fp8,1264,82.35,Moderate similarity match,75.0,82.35
meta-llama/llama-3.2-1b-instruct:free,Meta: Llama 3.2 1B Instruct (free),Meta-Llama-3.1-405B-Instruct-bf16,1265,80.77,Moderate similarity match,73.68,80.77
meta-llama/llama-3.2-3b-instruct,Meta: Llama 3.2 3B Instruct,Meta-Llama-3.2-3B-Instruct,1099,100.0,High ID similarity; High name similarity,89.36,100.0
meta-llama/llama-3.2-3b-instruct,Meta: Llama 3.2 3B Instruct,Meta-Llama-3.2-1B-Instruct,1050,95.24,High ID similarity; High name similarity,85.11,95.24
meta-llama/llama-3.2-3b-instruct,Meta: Llama 3.2 3B Instruct,Meta-Llama-3.1-8B-Instruct,1172,90.48,High name similarity,80.85,90.48
